Author,Recommender,Title,category,google_id,pages,publication_date
Vivien Stewart,Bill Gates,A World-Class Education,['Education'],Kl7VLXGINeYC,191.0,2012
Marcel Proust,Frank Blake,A la recherche du temps perdu,['French fiction'],eITe_roJtWMC,260.0,1919
Kai-Fu Lee,Arianna Huffington | Yuval Noah Harari,AI Superpowers,['Business & Economics'],KdVHDwAAQBAJ,256.0,2018-09-25
Eddie Campbell,Neil Gaiman,ALEC,['Comics & Graphic Novels'],WGdQAAAAMAAJ,127.0,2001
Peggy Rowe,Mike Rowe,About My Mother,['Computers'],e75G0xIJju8C,648.0,2012-06-12
Peggy Rowe,Mike Rowe,About Your Father and Other Celebrities I Have Known,['Biography & Autobiography'],nDBtDwAAQBAJ,192.0,2018-11-13
Abraham Lincoln,Barack Obama,Abraham Lincoln,['Biography & Autobiography'],FT23DwAAQBAJ,240.0,2020-04-14
John Hay,Doris Kearns Goodwin,Abraham Lincoln,['Biography & Autobiography'],9rK4JF52rugC,580.0,2008-10-01
Marilynne Robinson,Jon Stewart,Absence of Mind,['Presidents'],XmUTAQAAMAAJ,,1914
Osho,Naval Ravikant,Absolute Tao,['Philosophy'],hT5vw7O4SG8C,160.0,2010-05-25
Gary Shteyngart,Ev Williams,Absurdistan,['Spiritual life'],yQMRAQAAIAAJ,295.0,2001
Peter H. Diamandis,Bill Gates | Richard Branson | Steve Jurvetson,Abundance,['Fiction'],AVC9cVBnxS0C,333.0,2007
Richard Arum,Bill Gates,Academically Adrift,['Science'],U9CKBAAAQBAJ,432.0,2014-09-23
Jared Cohen,Ashton Kutcher | Eric Schmidt,Accidental Presidents,['Education'],A2lxFH5cgukC,272.0,2011-01-15
Gary S. Becker,Eric Weinstein,Accounting for Tastes,['History'],E2PHDwAAQBAJ,528.0,2020-01-28
Richard B. DuBoff,Noam Chomsky,Accumulation and Power,['Business & Economics'],bloy3pwa_7YC,292.0,2009-06-30
Tom Shroder,Michael Pollan,Acid Test,['Business & Economics'],KSO3DAAAQBAJ,195.0,2016-07-22
Vernor Vinge,Stewart Brand,Across Realtime,['History'],Gq4TAwAAQBAJ,448.0,2014-09-09
John Stryker Meyer,Jocko Willink,Across The Fence,,raZiHQAACAAJ,544.0,1994
Talulah Riley,Elon Musk,Acts of Love,"['Vietnam War, 1961-1975']",trljewAACAAJ,356.0,2011-02-15
Michael Ruffino,Anthony Bourdain,"Adios, Motherfucker",['Fiction'],qdvJDAEACAAJ,304.0,2019-02-05
Sue Townsend,Shah Rukh Khan,Adrian Mole,['Biography & Autobiography'],9ZW6AQAAQBAJ,352.0,2017-08-29
Ari Seth Cohen,Dita Von Teese,Advanced Style,['Fiction'],spg-DwAAQBAJ,283.0,2018-01-02
Mark Twain,Richard Branson | Daniel Pink | Walter Isaacson,Adventures of Huckleberry Finn,['Design'],PBapBAAAQBAJ,240.0,2012-10-30
Peter F. Drucker,Stewart Brand,Adventures of a Bystander,['Literary Criticism'],iZxnsSQgDckC,417.0,1985
