Author,Recommender,Title,category,google_id,pages,publication_date
Ryan Holiday,Aubrey Marcus | George Raveling,Ego Is the Enemy,['Biography & Autobiography'],3xDnYITBxhMC,187.0,2001
Hannah Arendt,Dr. Phil Zimbardo,Eichmann in Jerusalem,['Business & Economics'],j0GXCgAAQBAJ,256.0,2016-06-14
Walter Isaacson,Bill Gates | Mark Zuckerberg | Ray Dalio | Sam Altman | Charlie Munger | George Raveling | Scott Belsky | Ed Zschau,Einstein,['History'],ZwjNGDPUSPsC,312.0,1994-01-01
Alan Lightman,Eric Weinstein | Ev Williams,Einstein's Dreams,['Biography & Autobiography'],OzSJgdwk5esC,704.0,2008-09-04
Hans C. Ohanian,Ray Dalio,Einstein's Mistakes,['Fiction'],NAxQn7LfUx0C,144.0,2011-03-02
Jean Edward Smith,Brian Armstrong,Eisenhower in War and Peace,['Science'],XfI72x13gJ4C,416.0,2009-11-09
Theodore Gray,Stewart Brand,Elements,['Biography & Autobiography'],_LhouUaI5ecC,950.0,2012
Thomas M. Cover,Eric Weinstein,Elements of Information Theory,['Juvenile Nonfiction'],VK5rDwAAQBAJ,20.0,2019-04-23
Harry Lewis,Eric Weinstein,Elements of the Theory of Computation,['Computers'],VWq5GG6ycxMC,776.0,2012-11-28
Kaye Gibbons,Oprah Winfrey,Ellen Foster,['Computational complexity'],9lBAPgAACAAJ,361.0,1998
Ashlee Vance,Mr. Money Mustache | Tim Urban,Elon Musk,['Fiction'],7O-blVl-gFUC,168.0,2012-10-17
Steven Johnson,Ev Williams,Emergence,['Juvenile Nonfiction'],BZPktAEACAAJ,288.0,2018-05-01
Neil Strauss,Tim Ferriss,Emergency,['Science'],Au_tLkCwExQC,288.0,2012-09-11
Jane Austen,J.K. Rowling,Emma,['Self-Help'],GBfZjLybb8AC,432.0,2012-05-01
Chip Conley,Liz Lambert,Emotional Equations,['Fiction'],FtMoAwAAQBAJ,328.0,1998-12-23
Daniel Goleman,Drew Houston | Jack Kornfield | Sharon Salzberg,Emotional Intelligence,['Self-Help'],XH-1TURLaf4C,288.0,2012-01-10
Francis Jennings,Noam Chomsky,Empire of Fortune,['Self-Help'],OgXxhmGiRB0C,368.0,2012-01-11
James Hamilton-Paterson,Brian Cox,Empire of the Clouds,['History'],VsBPyRfdHEAC,520.0,1990
S. C. Gwynne,Joe Rogan | Lex Fridman,Empire of the Summer Moon,['Technology & Engineering'],bGRdLl9PynIC,304.0,2010-10-07
Bill Dedman,Jon Stewart,Empty Mansions,['Biography & Autobiography'],YBnqAgAAQBAJ,371.0,2010
John McPhee,Jim Collins,Encounters with the Archdruid,['Biography & Autobiography'],3DGODQAAQBAJ,470.0,2014
Rita Lerner,Eric Weinstein,Encyclopedia of Physics,['Nature'],eXuLaGjYFR8C,256.0,1977-10-01
Jim Dreaver,Carlos Santana,"End Your Story, Begin Your Life",['Science'],-BNJPgAACAAJ,1408.0,1990-12-28
Orson Scott Card,Ev Williams | Tim Ferriss | Mark Zuckerberg | Travis Kalanick,Ender's Game,"['Body, Mind & Spirit']",kuSCRAAACAAJ,229.0,2010-04-01
Orson Scott Card,Mark Zuckerberg,Ender's Shadow,['Fiction'],jaM7DwAAQBAJ,448.0,2017-10-17
Aubrey de Grey,Steve Aoki,Ending Aging,['Fiction'],zEmCqLh9z10C,480.0,2002-05-19
Alfred Lansing,Ryan Holiday | Ray Dalio | Sam Altman | Bryan Johnson | Scott Belsky,Endurance,['Science'],vlBAKAESSg4C,400.0,2007-09-04
Alex Hutchinson,Noah Kagan,Endure,['History'],oDBnAgAAQBAJ,416.0,2014-04-29
Isaac Bashevis Singer,Steven Pinker,"Enemies, A Love Story",['Health & Fitness'],aRrcDgAAQBAJ,320.0,2018-02-06
Vaclav Smil,Bill Gates,Energies,['Fiction'],50PnZLw8o3gC,280.0,1972
Vaclav Smil,Bill Gates | Mark Zuckerberg,Energy,['Technology & Engineering'],Q5nhBwAAQBAJ,453.0,2013-03-09
Vaclav Smil,Bill Gates,Energy Myths and Realities,['Science'],lm1WAAAACAAJ,192.0,2006-04-26
Vaclav Smil,Bill Gates,Energy Transitions,['Science'],JC_n2gjByuAC,232.0,2010-08-16
Vaclav Smil,Bill Gates,Energy and Civilization,['Business & Economics'],vLuT4BS_25MC,178.0,2010
Vaclav Smil,Bill Gates,Energy at the Crossroads,['Science'],58MjDwAAQBAJ,568.0,2017-05-12
Steven Pinker,Bill Gates | Jordan Peterson | Sam Harris | A.J. Jacobs | Yuval Noah Harari,Enlightenment Now,['Science'],2UM6KSEMoLUC,427.0,2005
John C. Bogle,Mr. Money Mustache,Enough,['Psychology'],R5KADwAAQBAJ,576.0,2019-01-15
Vaclav Smil,Bill Gates,Enriching the Earth,['Business & Economics'],GZEDWEeM1ogC,296.0,2010-06-01
Edward R. Tufte,Jeff Atwood | Kevin Rose,Envisioning Information,['Technology & Engineering'],G9FljcEASycC,338.0,2004
Jeremy N. Smith,Bill Gates,Epic Measures,['Cartography'],_EZiAAAAMAAJ,126.0,1991
Nancy Leys Stepan,Bill Gates,Eradication,['Health & Fitness'],Q1edBAAAQBAJ,352.0,2015-04-07
Soner Cagaptay,Fareed Zakaria,Erdogan's Empire,['Medical'],hrleAgAAQBAJ,312.0,2013-02-15
George Orwell,Anthony Bourdain,Essays,['Political Science'],zuCrDwAAQBAJ,392.0,2019-09-19
Plutarch,Ryan Holiday,Essays,['Reference'],My_uAAAAMAAJ,574.0,1968
Donald Hall,Safi Bahcall,Essays After Eighty,['History'],0U-hsAonP1AC,430.0,1992
Arthur Schopenhauer,Ryan Holiday,Essays and Aphorisms,['Literary Collections'],iaZUBQAAQBAJ,134.0,2014-07-01
John Maynard Keynes,Warren Buffett,Essays in Persuasion,['Philosophy'],EWt_5YLqHcAC,256.0,2004-08-26
Charles Bukowski,Lex Fridman,Essential Bukowski,['Business & Economics'],0kMXy_5sivQC,384.0,2011-02-14
Michel Bras,Chris Young,Essential Cuisine,['Literary Collections'],PDOKCwAAQBAJ,240.0,2016-10-25
David Daniels,Chelsea Handler,Essential Enneagram,"['Cooking, French']",CQjqOwAACAAJ,269.0,2008
Greg Mckeown,Noah Kagan | Kevin Rose,Essentialism,['Psychology'],b0S5n2C1jaIC,128.0,2009-11-24
Marcella Hazan,Samin Nosrat | Mark Bittman,Essentials of Classic Italian Cooking,['Business & Economics'],CleNDQAAQBAJ,260.0,2014
Edith Wharton,Caterina Fake,Ethan Frome,['Cooking'],1FVLv7WS4C4C,704.0,2011-07-20
Euclid,Paul Graham,Euclid's Elements,['Accident victims'],jq0TAAAAYAAJ,2.0,1922
Stuart Dischell,Rolf Potts,Evenings and Avenues,['Geometry'],kT44AAAAMAAJ,464.0,1765
Bob Chapman,Simon Sinek,Everybody Matters,['Poetry'],ZXxaAAAAMAAJ,69.0,1996
Bob Goff,Noah Kagan,"Everybody, Always",['Business & Economics'],1dNJBgAAQBAJ,256.0,2015-10-06
Jody Mitic,Jocko Willink,Everyday Heroes,['Religion'],-bE2DwAAQBAJ,240.0,2018-04-17
Thomas Oey,Eric Weinstein,Everyday Indonesian,['Biography & Autobiography'],3Wc6DwAAQBAJ,320.0,2017-10-24
Chris Hogan,Dave Ramsey,Everyday Millionaires,['Foreign Language Study'],Eo_QAgAAQBAJ,192.0,2012-09-04
Steven Johnson,Ev Williams,Everything Bad is Good for You,['Business & Economics'],uHaSDwAAQBAJ,272.0,2019-01-07
Kate Bowler,Bill Gates,Everything Happens for a Reason,['Psychology'],9_YZyOfgqbEC,254.0,2006
Marie Forleo,Brené Brown,Everything Is Figureoutable,['Biography & Autobiography'],uejWDgAAQBAJ,208.0,2018-02-06
Matthew Desmond,Bill Gates | Barack Obama,Evicted,['Self-Help'],xFaFDwAAQBAJ,304.0,2019-09-10
William Deresiewicz,Bryan Callen,Excellent Sheep,['POLITICAL SCIENCE'],Wy7TCwAAQBAJ,418.0,2016
Iain M. Banks,Elon Musk | Stewart Brand | Jeff Bezos,Excession,['Education'],1iRyCQAAQBAJ,256.0,2015-05-26
Vincent Bramley,Jocko Willink,Excursion to Hell,['Fiction'],G803AgAAQBAJ,464.0,2008-09-04
Ted Chiang,Barack Obama | Naval Ravikant | Tim Ferriss,Exhalation,"['Falkland Islands War, 1982']",K1huAAAAMAAJ,221.0,1992
Rollo May,Jordan Peterson,Existence,['Fiction'],L61oDwAAQBAJ,368.0,2019-05-07
Mohsin Hamid,Barack Obama | Michelle Obama,Exit West,['Medical'],a9V3kaus0j4C,445.0,1994-09-01
Leon Uris,Ben Shapiro,Exodus,['Fiction'],VLRKDwAAQBAJ,256.0,2018-02-27
Dan Bongino,Donald Trump,Exonerated,['Fiction'],h2d4yEhXd9cC,608.0,2011-09-27
Philip E. Tetlock,Patrick Collison | Marc Andreessen,Expert Political Judgment,['Political Science'],BWiQDwAAQBAJ,365.0,2019-09-24
Nur Masalha,Noam Chomsky,Expulsion of the Palestinians,['Political Science'],QgGRar_TCjIC,321.0,2005
Jocko Willink,Tim Ferriss | Marc Andreessen | Casey Neistat,Extreme Ownership,['Political Science'],UIFtAAAAMAAJ,235.0,1992
Jonathan Safran Foer,Donald Glover,Extremely Loud and Incredibly Close,['Business & Economics'],tpspDwAAQBAJ,320.0,2017-11-21
Bill Willingham,Naval Ravikant,Fables,['Fiction'],mYeIEPcp-WAC,368.0,2013-09-03
Brian Grazer,Ron Conway,Face to Face,,714EvgAACAAJ,,2017-04-18
Pia Mellody,Dave Elitch,Facing Love Addiction,['Business & Economics'],WBkyDwAAQBAJ,208.0,2019-09-17
Hans Rosling,Bill Gates | Barack Obama | Jordan Peterson | Howard Marks,Factfulness,['Self-Help'],0t36pQm_qTYC,272.0,1992-06-05
Robert L. Glass,Ev Williams,Facts and Fallacies of Software Engineering,['Science'],j-4yDwAAQBAJ,288.0,2018-04-03
Ray Bradbury,Tim Ferriss | Ryan Holiday,Fahrenheit 451,['Computers'],3Ntz-UJzZN0C,195.0,2003
Sharon Salzberg,Jerry Colonna,Faith,['Fiction'],OYtkbGl2j0sC,208.0,2011-11-29
John McCain,Hillary Clinton,Faith of My Fathers,['Religion'],uEicxq8xhbIC,192.0,2003-09-02
Ann-Marie MacDonald,Oprah Winfrey,Fall On Your Knees,['Biography & Autobiography'],mOb4DAAAQBAJ,368.0,2016-10-04
Steven Runciman,Paul Graham,Fall of Constantinople,['Fiction'],JSpbbA1zyz4C,512.0,2011-01-25
Neal Stephenson,Naval Ravikant,"Fall; or, Dodge in Hell",['History'],BAzntP0lg58C,256.0,1965
Will Durant,Naval Ravikant,Fallen Leaves,['Fiction'],a6ZtDwAAQBAJ,896.0,2019-06-04
Adyashanti,Naval Ravikant,Falling into Grace,['Literary Collections'],TPttAwAAQBAJ,208.0,2014-12-09
Bill McKibben,Al Gore,Falter,"['Body, Mind & Spirit']",6KtjEHJmo58C,234.0,2011
Salvador Minuchin,Esther Perel,Family Healing,['Nature'],UapbDwAAQBAJ,272.0,2019-04-16
Kurt Andersen,Walter Isaacson,Fantasyland,['Psychology'],FN2ZVOJLez4C,304.0,1998-04-01
Nancy Forbes,Naval Ravikant | Charlie Munger,"Faraday, Maxwell, and the Electromagnetic Field",['History'],aaX4DAAAQBAJ,480.0,2017-09-05
Eric Schlosser,Richard Branson,Fast Food Nation,['Science'],MesKAgAAQBAJ,320.0,2014-03-11
Ernest K. Gann,Larry Ellison,Fate Is the Hunter,['Business & Economics'],dU13X_AM_N8C,362.0,2012
Harry H. Harrison Jr.,Eric Weinstein,Father to Son,['Biography & Autobiography'],PmFvJkDPhxwC,390.0,1986-07-02
Bill Cosby,Shah Rukh Khan,Fatherhood,['Family & Relationships'],M1e-lK7ZDMAC,314.0,2000-01-01
Gerald Durrell,Paul Graham,Fauna & Family,['Humor'],dMSLqFPHy9UC,80.0,2002-06
Hunter S. Thompson,Naval Ravikant | Jordan Peterson | Anthony Bourdain,Fear and Loathing in Las Vegas,['History'],RiG97kIyWXYC,280.0,2010-11
Zadie Smith,Barack Obama,Feel Free,['Biography & Autobiography'],R11qaqN4jzQC,224.0,2010-09-29
bell hooks,Emma Watson,Feminism Is for Everybody,['Literary Collections'],YoUqDwAAQBAJ,480.0,2018-02-06
bell hooks,Emma Watson,Feminist Theory,['Social Science'],0au7QbAJH0gC,140.0,2000
Jim Ottaviani,Donald Knuth,Feynman,['African American women'],uvIQbop4cdsC,179.0,2000
Richard P. Feynman,Patrick Collison,Feynman Lectures on Computation,['Comics & Graphic Novels'],QYYWAj3jCzEC,272.0,2011-08-30
Frank Partnoy,Charlie Munger,Fiasco,['Science'],x9ZiDwAAQBAJ,324.0,2018-07-03
Thomas E. Ricks,Bryan Callen,Fiasco,['Business & Economics'],4PCePwAACAAJ,283.0,1999
Jorge Luis Borges,Naval Ravikant,Ficciones,['History'],JuWlzq_2IVwC,512.0,2006-07-25
Philip Kerr,Lewis Cantley,Field Gray,['Argentine fiction'],qZpbQ2PgnPIC,279.0,1983
James Webb,Jocko Willink,Fields of Fire,['Fiction'],leJyEu_oglUC,464.0,2011-04-14
Kai Cheng Thom,Emma Watson,Fierce Femmes and Notorious Liars,['Fiction'],uZSODwAAQBAJ,400.0,2019-04-29
Tom Robbins,Ev Williams,Fierce Invalids Home From Hot Climates,['Fiction'],gk3-MAAACAAJ,200.0,2016
F.L. Fowler,Shaun White,Fifty Shades of Chicken,['Fiction'],6puMjo7ysB8C,464.0,2003-06-17
E L James,Aubrey Marcus,Fifty Shades of Grey,['Cooking'],tP8Skz40xvQC,160.0,2012
Chuck Palahniuk,Ryan Holiday,Fight Club,['Fiction'],GbVdlAEACAAJ,514.0,2013-01-29
Howard J. Markman,Esther Perel,Fighting for Your Marriage,['Fiction'],hoGkPfds4tAC,224.0,2005-10-17
Emma Larkin,Hillary Clinton,Finding George Orwell in Burma,['Family & Relationships'],4ea0-Qzw1CkC,464.0,2010-04-26
Valerie Jarrett,Barack Obama,Finding My Voice,['Travel'],zLvDnIOyViEC,304.0,2006-03-06
Nolan Bushnell,Ashton Kutcher,Finding the Next Steve Jobs,['Biography & Autobiography'],nFbXDwAAQBAJ,336.0,2020-04-09
Graham Hancock,Joe Rogan,Fingerprints of the Gods,['Biography & Autobiography'],xdGKBAAAQBAJ,256.0,2014-09-23
James Carse,Stewart Brand | Kevin Kelly | Simon Sinek | Tristan Harris | Graham Duncan | Jane McGonigal,Finite and Infinite Games,['Science'],O1TJmqti-TsC,592.0,2012-09-19
Charles M. Blow,Anderson Cooper,Fire Shut Up in My Bones,['Philosophy'],ObLBJ_w2ZlcC,256.0,2011-10-11
Jim Clayton,Warren Buffett,First A Dream,['Biography & Autobiography'],fbjaAgAAQBAJ,304.0,2014-09-23
Aimee Nezhukumatathil,Rolf Potts,Fishbone,['Biography & Autobiography'],78laAAAACAAJ,399.0,2002
James McBride,Barack Obama,Five-Carat Soul,['Fishbone [musical group]'],1ScgAQAAIAAJ,27.0,2000
Edwin A. Abbott,Bryan Johnson,Flatland,['Fiction'],V2g3DwAAQBAJ,308.0,2017
Lauren Groff,Barack Obama,Florida,['Fourth dimension'],R6E0AAAAMAAJ,155.0,1885
Mihaly Csikszentmihalyi,Kishore Biyani,Flow,['Fiction'],GPM3DwAAQBAJ,288.0,2018-06-05
Daniel Keyes,Naval Ravikant | Jordan Peterson,Flowers for Algernon,,tSD3tgEACAAJ,456.0,2018-04-28
Gina Kolata,Jonathan Eisen,Flu,['Fiction'],_oG_iTxP1pIC,304.0,2007-12-01
Hugh Dundas,Paul Graham,Flying Start,['Social Science'],jbRGenPelw0C,330.0,2011-04-01
Al Ries,Ev Williams | Ben Horowitz,Focus,['History'],ugXMDwAAQBAJ,224.0,2011-07-12
Waverley Root,Donald Knuth,Food,['Business & Economics'],wcJ8Wfg8SIoC,304.0,1996
Matthew Prescott,Ellen DeGeneres,Food Is the Solution,['Cooking'],F4k-DwAAQBAJ,450.0,1992
Terence McKenna,Joe Rogan,Food of the Gods,['Self-Help'],VUA2DwAAQBAJ,356.0,2018-03-20
Nassim Nicholas Taleb,Naval Ravikant | Ev Williams | Matt Mullenweg | James Altucher | Howard Marks | Nick Kokonas | Art De Vany,Fooled by Randomness,['Religion'],mDKJGHtE7VUC,336.0,2010-02-23
Ernest Hemingway,Jordan Peterson | Josh Waitzkin,For Whom the Bell Tolls,['Business & Economics'],DCqFYOrGyegC,368.0,2008-10-14
Liz Plank,Kathryn Minshew,For the Love of Men,['Fiction'],TdVQAQAAQBAJ,501.0,2014-05-22
Walter Lewin,Bill Gates,For the Love of Physics,['Social Science'],i12IDwAAQBAJ,384.0,2019-09-10
Dr. Qing Li,Kevin Rose,Forest Bathing,['Biography & Autobiography'],xkgzB5kGGwkC,302.0,2012-02-07
Charles L. L. Bosk,Peter Attia,Forgive and Remember,['Self-Help'],gjM9DwAAQBAJ,320.0,2018-04-17
Alistair Urquhart,Jocko Willink,Forgotten Highlander,"['Operations, Surgical']",X3lS8Y2cHNIC,236.0,1981
Lewis B. Puller Jr.,Jocko Willink,Fortunate Son,['History'],AlqCDwAAQBAJ,320.0,2010-10-01
Isaac Asimov,Elon Musk,Forward the Foundation,['Biography & Autobiography'],04c4XSpgxXEC,389.0,1991
Umberto Eco,Patrick Collison,Foucault's Pendulum,['Fiction'],u9JwFh4xVLoC,480.0,1994
Isaac Asimov,Naval Ravikant | Elon Musk | Stewart Brand | Sam Altman | Demis Hassabis | Adam Gazzaley,Foundation,['Fiction'],MbDqDwAAQBAJ,658.0,2007-03-05
Isaac Asimov,Elon Musk,Foundation and Earth,['Fiction'],j2f6L1vuR3kC,605.0,2010
Isaac Asimov,Elon Musk | Stewart Brand,Foundation and Empire,['Fiction'],QoI6QptJvrYC,448.0,2012-02-22
Isaac Asimov,Elon Musk,Foundation's Edge,['Fiction'],BJcgLVibkrEC,304.0,2004-06-01
Lama Anagarika Govinda,Steve Jobs,Foundations of Tibetan Mysticism,['Fiction'],uoE7v9OJ6rIC,450.0,1991
Jessica Livingston,Ev Williams | Paul Graham | Ryan Holiday | Ron Conway | Alexis Ohanian,Founders at Work,['Religion'],zK7l3hUuOwcC,320.0,1969-01-15
Michael Bilton,Jocko Willink,Four Hours in My Lai,['Business & Economics'],ktm885vGIXEC,488.0,2008-11-01
Heraclitus,Ryan Holiday,Fragments,"['Mỹ Lại Massacre, Vietnam, 1968']",WENuAAAAMAAJ,430.0,1992
Howard Gardner,Charles Koch,Frames of Mind,['Aphorisms and apothegms'],4Zl6LNbWwXMC,214.0,1987
Matt Ridley,Naval Ravikant,Francis Crick,['Education'],wxj6npSaykgC,528.0,2011-03-29
Frank Stewart,Bill Gates,Frank Stewart's Bridge Club,['Biography & Autobiography'],ublcaqIgPiIC,224.0,2012-01-17
J. D. Salinger,Emma Stone,Franny and Zooey,['Games & Activities'],jEx5_SJXl2sC,192.0,2003
Nikos Kazantzakis,Jordan Peterson,Fratricides,['Fiction'],jaSiDwAAQBAJ,208.0,2019-08-13
Steven D. Levitt,Ev Williams | Daymond John | James Altucher,Freakonomics,['Greece'],qiubQgAACAAJ,252.0,1964
David W. Blight,Barack Obama,Frederick Douglass,['Business & Economics'],2pphyRUF3eoC,336.0,2009-09
Sam Harris,A.J. Jacobs,Free Will,['Biography & Autobiography'],ylTDDwAAQBAJ,912.0,2020-01-07
Milton Friedman,Arnold Schwarzenegger,Free to Choose,['Science'],iRpkNcRt1IcC,96.0,2012-03-06
Jonathan Franzen,Oprah Winfrey,Freedom,['Business & Economics'],F5z1B5SwGUEC,360.0,1990-11-26
Jiddu Krishnamurti,Naval Ravikant,Freedom from the Known,['Fiction'],cWQJJIgJNtUC,576.0,2010-08-31
Ken Auletta,Alexis Ohanian,Frenemies,['Religion'],YKWHrZpmzYcC,128.0,1975-03-19
Nana Kwame Adjei-Brenyah,Vinod Khosla,Friday Black,,ZxIAtAEACAAJ,368.0,2018-06-07
H.G. Bissinger,Brian Grazer,Friday Night Lights,['Fiction'],WRFxDwAAQBAJ,208.0,2018
Daniel C. Dennett,Ray Dalio | Vinod Khosla | Esther Dyson,From Bacteria to Bach and Back,['Sports & Recreation'],aRZpCQAAQBAJ,432.0,2015-08-11
Andrew Weil,Patrick Arnold,From Chocolate to Morphine,['Philosophy'],PEp8DAAAQBAJ,496.0,2017-02-07
Stephen Gillett,Eric Schmidt,From Simi Valley to Silicon Valley,['Health & Fitness'],p6zyPxi4PYoC,304.0,2004-12-09
Robert Eisberg,Bill Nye,Fundamentals of Modern Physics,['Self-Help'],PkfEyQEACAAJ,288.0,2019-09-20
Paul M. Bellan,Sam Altman,Fundamentals of Plasma Physics,['Matter'],7JwxAQAAIAAJ,729.0,1967
Casey Cep,Barack Obama,Furious Hours,['Science'],v2dER3SUrtsC,,2008-07-31
Sam Kashner,Taylor Swift,Furious Love,['Biography & Autobiography'],paBtDwAAQBAJ,336.0,2019-05-07
Alvin Toffler,Kevin Kelly | Donald Glover,Future Shock,['Biography & Autobiography'],M9fYAgAAQBAJ,512.0,2013-02-18
Alex Wagner,Barack Obama,Futureface,['Social Science'],PJHi444dlRcC,561.0,1990
Bart Kosko,Ev Williams,Fuzzy Thinking,['Biography & Autobiography'],rJ9-DwAAQBAJ,352.0,2019-01-08
James Lovelock,Stewart Brand,Gaia,['Fuzzy logic'],TBmvQgAACAAJ,318.0,1994
Matthew Sadler,Demis Hassabis,Game Changer,['Biology'],ZrETAQAAIAAJ,157.0,1987
Mahatma Gandhi,Kevin Kelly | Cory Booker,Gandhi,,KhhivwEACAAJ,416.0,2019-02-15
Sudhir Venkatesh,Mark Zuckerberg,Gang Leader for a Day,['History'],oc47gUOPZfcC,208.0,1997-01-28
Robert Morgan,Oprah Winfrey,Gap Creek,['Biography & Autobiography'],tdR_5ngR1zwC,320.0,2008-01-10
Ebenezer Howard,Soman Chainani,Garden Cities of To-Morrow,['Fiction'],MpDqIm6nAsAC,368.0,2012-08-21
Stephen Manes,Ev Williams,Gates,['Science'],ST40B9M9H48C,176.0,2013-01-11
Steven Pressfield,Ron Conway | Chris Fussell,Gates of Fire,['Biography & Autobiography'],cynR_pehxHgC,560.0,1994-01-21
Robin Wall Kimmerer,Maria Popova,Gathering Moss,['Fiction'],vcxlHkUGf_wC,400.0,2007-01-30
Dorothy L. Sayers,Donald Knuth,Gaudy Night,['Nature'],Wcg50WcWJT4C,168.0,2003
Chris Quigg,Eric Weinstein,"Gauge Theories Of Strong, Weak, And Electromagnetic Interactions",['Fiction'],pcLTJYnKDdEC,506.0,2012-07-31
Richie Jackson,Arianna Huffington,Gay Like Me,['Science'],Z2WYDwAAQBAJ,496.0,2013-09-23
Jonathan Acuff,Dave Ramsey,"Gazelles, Baby Steps & 37 Other Things",['Family & Relationships'],eG-EDwAAQBAJ,176.0,2020-01-28
Hector Garcia,Derek Sivers,Geek in Japan,['Business & Economics'],4pJHYgEACAAJ,197.0,2011-02-01
R.K. Sachs,Eric Weinstein,General Relativity for Mathematicians,['Travel'],RHSODwAAQBAJ,192.0,2019-06-25
Douglas Coupland,Dave Elitch,Generation X,['Mathematics'],StziBwAAQBAJ,292.0,2012-12-06
William Strauss,Tony Robbins,Generations,['Fiction'],WRdH_LnSsQ0C,183.0,1991-03-15
Jack Weatherford,Tim Ferriss | Ben Horowitz | Daymond John | Lisa Ling,Genghis Khan and the Making of the Modern World,['History'],FTGY-uoCCCoC,544.0,1992-09-30
Eysenck,Jordan Peterson,Genius,['History'],A8Y9B5uHQcAC,352.0,2005-03-22
James Gleick,Naval Ravikant,Genius,['Psychology'],eOMi4cCJboMC,344.0,1995-05-11
Max Lugavere,Kathryn Minshew,Genius Foods,['Biography & Autobiography'],j42RD66g72oC,532.0,2011-02-22
Matt Ridley,Naval Ravikant | Mark Zuckerberg | Charlie Munger | Nick Szabo,Genome,['Health & Fitness'],Bpm7DgAAQBAJ,400.0,2018-03-20
Roald Dahl,Richard Branson,George's Marvelous Medicine,['Science'],7O775xBxfMoC,368.0,2013-03-26
Douglas Rushkoff,Ev Williams | Keith Rabois,Get Back in the Box,['Juvenile Fiction'],9Z_7DAAAQBAJ,96.0,2016-09-13
Charles Kenny,Bill Gates,Getting Better,['Business & Economics'],ACDdoOYVXboC,336.0,2010-08-31
Jay Abraham,Ramit Sethi | Neville Medhora,Getting Everything You Can Out of All You've Got,['Business & Economics'],Z1tZMax5gygC,256.0,2012-12-04
William Ury,Tim Ferriss,Getting Past No,['Business & Economics'],q90CGjAOjycC,384.0,2001-10-12
37signals,Tim Ferriss,Getting Real,['Business & Economics'],sS2amtSiHYQC,208.0,2007-04-17
David Allen,Ev Williams | Dustin Moskovitz | Tony Hsieh | Michael McCullough,Getting Things Done,['Computers'],NIZNQwAACAAJ,187.0,2006
Richard Michael Fischl,Nick Szabo,Getting To Maybe,['Business & Economics'],7PoYBAAAQBAJ,352.0,2015-03-17
Harville Hendrix Ph.D.,Whitney Cummings | Julie Rice,Getting the Love You Want,['Study Aids'],GQDrAQAAQBAJ,348.0,1999-05-01
Roger Fisher,Tim Ferriss | Charlie Munger | Dustin Moskovitz | Drew Houston | Nick Ganju,Getting to Yes,['Family & Relationships'],Pu9WDwAAQBAJ,202.0,2019-01-22
Steve Coll,Simon Sinek,Ghost Wars,['Business & Economics'],sjH3emOkC1MC,200.0,1991
Mark Kram,Ben Shapiro,Ghosts of Manila,['History'],N8Qxf-33dxMC,736.0,2005-03-03
Marilynne Robinson,Barack Obama,Gilead,['Biography & Autobiography'],2n8mpVHLmVIC,240.0,2009-06-09
Jonathan Lethem,Adam Savage,Girl in Landscape,['Fiction'],ERVAPnnF3gcC,247.0,2006
Bernardine Evaristo,Barack Obama,"Girl, Woman, Other",['Fiction'],UsnbTKpCUt8C,288.0,2011-04-13
Annie Lowrey,Ezra Klein,Give People Money,['Fiction'],U32pDwAAQBAJ,464.0,2019-11-05
Thomas J. Tierney,Bill Gates,Give Smart,['Political Science'],QmQ_DwAAQBAJ,272.0,2018-07-10
P. J. O'Rourke,Eric Weinstein,Give War a Chance,['Social Science'],6l90l3s4D9MC,272.0,2011-03-29
Adam Grant,Ashton Kutcher | Seth Godin | Daniel Pink | Arianna Huffington | Gretchen Rubin | Simon Sinek | Chip Conley | Krista Tippett | Tony Hsieh | Susan Cain,Give and Take,"['Persian Gulf War, 1991']",QQEB4j4hHxsC,238.0,1993
Alan Macfarlane,Nick Szabo,Glass,['Business & Economics'],Q16JDQAAQBAJ,307.0,2014
Vaclav Smil,Bill Gates,Global Catastrophes and Trends,['Technology & Engineering'],i2VzLAGOCngC,255.0,2002-10-01
Ann Lindstrand,Bill Gates,Global Health,['Science'],tKnuDwAAQBAJ,320.0,2012-09-21
John Theodore Houghton,Bill Gates,Global Warming,['Medical'],oS6sOwAACAAJ,326.0,2006
Steve Lohr,Keith Rabois,Go To,['Science'],YgTpMEUHtmsC,251.0,1997-09-18
Adam Mansbach,A.J. Jacobs | Charlize Theron,Go the F**k to Sleep,['Computer programmers'],q4_mNwAACAAJ,248.0,2002
Frank Herbert,Elon Musk,God Emperor of Dune,['Humor'],dNhMzfp-ekAC,32.0,2011-06-14
Christopher Hitchens,Sam Harris,God Is Not Great,['Fiction'],BpLqDwAAQBAJ,496.0,2020-07-07
Scott Adams,Naval Ravikant,God's Debris,['Social Science'],8kgjU4wbM5oC,320.0,2008-11-19
Lawrence Wright,Joe Rogan | Bryan Callen,Going Clear,['Religion'],lP5jAgAAQBAJ,132.0,2013-12-24
Ed Morrissey,Ben Shapiro,Going Red,['Religion'],z4IDPV2hZL0C,448.0,2013-01-17
Conor Dougherty,Marc Andreessen,Golden Gates,['Political Science'],EpkmCgAAQBAJ,240.0,2016-04-12
Gillian Flynn,Anderson Cooper,Gone Girl,['Social Science'],-TOaDwAAQBAJ,288.0,2020-02-18
